"Campaign","Campaign Status","Campaign Type","Networks","Daily Budget","Budget Type","Start Date","End Date","Bid Strategy Type","Campaign URL Options (Tracking Template)","Final URL Suffix","Campaign Language"
10K ZIP Campaign - 2025-12-05,Enabled,Search,Search Network,,,,,,,,en

"Campaign","Setting","Value"

"Budget","Budget Amount","Delivery Method","Budget ID"
10K ZIP Campaign - 2025-12-05,02069,Postal Code,
10K ZIP Campaign - 2025-12-05,02071,Postal Code,
10K ZIP Campaign - 2025-12-05,02085,Postal Code,
10K ZIP Campaign - 2025-12-05,02120,Postal Code,
10K ZIP Campaign - 2025-12-05,02124,Postal Code,
10K ZIP Campaign - 2025-12-05,02140,Postal Code,
10K ZIP Campaign - 2025-12-05,02142,Postal Code,
10K ZIP Campaign - 2025-12-05,02147,Postal Code,
10K ZIP Campaign - 2025-12-05,02159,Postal Code,
10K ZIP Campaign - 2025-12-05,02167,Postal Code,
10K ZIP Campaign - 2025-12-05,02192,Postal Code,
10K ZIP Campaign - 2025-12-05,02220,Postal Code,
10K ZIP Campaign - 2025-12-05,02270,Postal Code,
10K ZIP Campaign - 2025-12-05,02271,Postal Code,
10K ZIP Campaign - 2025-12-05,02273,Postal Code,
10K ZIP Campaign - 2025-12-05,02294,Postal Code,
10K ZIP Campaign - 2025-12-05,02310,Postal Code,
10K ZIP Campaign - 2025-12-05,02314,Postal Code,
10K ZIP Campaign - 2025-12-05,02323,Postal Code,
10K ZIP Campaign - 2025-12-05,02330,Postal Code,
10K ZIP Campaign - 2025-12-05,02347,Postal Code,
10K ZIP Campaign - 2025-12-05,02360,Postal Code,
10K ZIP Campaign - 2025-12-05,02370,Postal Code,
10K ZIP Campaign - 2025-12-05,02377,Postal Code,
10K ZIP Campaign - 2025-12-05,02386,Postal Code,
10K ZIP Campaign - 2025-12-05,02402,Postal Code,
10K ZIP Campaign - 2025-12-05,02412,Postal Code,
10K ZIP Campaign - 2025-12-05,02429,Postal Code,
10K ZIP Campaign - 2025-12-05,02433,Postal Code,
10K ZIP Campaign - 2025-12-05,02444,Postal Code,
10K ZIP Campaign - 2025-12-05,02445,Postal Code,
10K ZIP Campaign - 2025-12-05,02446,Postal Code,
10K ZIP Campaign - 2025-12-05,02456,Postal Code,
10K ZIP Campaign - 2025-12-05,02459,Postal Code,
10K ZIP Campaign - 2025-12-05,02471,Postal Code,
10K ZIP Campaign - 2025-12-05,02490,Postal Code,
10K ZIP Campaign - 2025-12-05,02493,Postal Code,
10K ZIP Campaign - 2025-12-05,02502,Postal Code,
10K ZIP Campaign - 2025-12-05,02524,Postal Code,
10K ZIP Campaign - 2025-12-05,02555,Postal Code,
10K ZIP Campaign - 2025-12-05,02570,Postal Code,
10K ZIP Campaign - 2025-12-05,02583,Postal Code,
10K ZIP Campaign - 2025-12-05,02586,Postal Code,
10K ZIP Campaign - 2025-12-05,02588,Postal Code,
10K ZIP Campaign - 2025-12-05,02606,Postal Code,
10K ZIP Campaign - 2025-12-05,02613,Postal Code,
10K ZIP Campaign - 2025-12-05,02646,Postal Code,
10K ZIP Campaign - 2025-12-05,02654,Postal Code,
10K ZIP Campaign - 2025-12-05,02662,Postal Code,
10K ZIP Campaign - 2025-12-05,02665,Postal Code,
10K ZIP Campaign - 2025-12-05,02669,Postal Code,
10K ZIP Campaign - 2025-12-05,02672,Postal Code,
10K ZIP Campaign - 2025-12-05,02691,Postal Code,
10K ZIP Campaign - 2025-12-05,02694,Postal Code,
10K ZIP Campaign - 2025-12-05,02701,Postal Code,
10K ZIP Campaign - 2025-12-05,02721,Postal Code,
10K ZIP Campaign - 2025-12-05,02727,Postal Code,
10K ZIP Campaign - 2025-12-05,02741,Postal Code,
10K ZIP Campaign - 2025-12-05,02779,Postal Code,
10K ZIP Campaign - 2025-12-05,02788,Postal Code,
10K ZIP Campaign - 2025-12-05,02789,Postal Code,
10K ZIP Campaign - 2025-12-05,02797,Postal Code,
10K ZIP Campaign - 2025-12-05,02803,Postal Code,
10K ZIP Campaign - 2025-12-05,02806,Postal Code,
10K ZIP Campaign - 2025-12-05,02811,Postal Code,
10K ZIP Campaign - 2025-12-05,02817,Postal Code,
10K ZIP Campaign - 2025-12-05,02820,Postal Code,
10K ZIP Campaign - 2025-12-05,02826,Postal Code,
10K ZIP Campaign - 2025-12-05,02831,Postal Code,
10K ZIP Campaign - 2025-12-05,02837,Postal Code,
10K ZIP Campaign - 2025-12-05,02842,Postal Code,
10K ZIP Campaign - 2025-12-05,02845,Postal Code,
10K ZIP Campaign - 2025-12-05,02848,Postal Code,
10K ZIP Campaign - 2025-12-05,02849,Postal Code,
10K ZIP Campaign - 2025-12-05,02850,Postal Code,
10K ZIP Campaign - 2025-12-05,02866,Postal Code,
10K ZIP Campaign - 2025-12-05,02877,Postal Code,
10K ZIP Campaign - 2025-12-05,02881,Postal Code,
10K ZIP Campaign - 2025-12-05,02882,Postal Code,
10K ZIP Campaign - 2025-12-05,02885,Postal Code,
10K ZIP Campaign - 2025-12-05,02893,Postal Code,
10K ZIP Campaign - 2025-12-05,02894,Postal Code,
10K ZIP Campaign - 2025-12-05,02897,Postal Code,
10K ZIP Campaign - 2025-12-05,02898,Postal Code,
10K ZIP Campaign - 2025-12-05,02913,Postal Code,
10K ZIP Campaign - 2025-12-05,02927,Postal Code,
10K ZIP Campaign - 2025-12-05,02932,Postal Code,
10K ZIP Campaign - 2025-12-05,02933,Postal Code,
10K ZIP Campaign - 2025-12-05,02943,Postal Code,
10K ZIP Campaign - 2025-12-05,02975,Postal Code,
10K ZIP Campaign - 2025-12-05,02981,Postal Code,
10K ZIP Campaign - 2025-12-05,03001,Postal Code,
10K ZIP Campaign - 2025-12-05,03024,Postal Code,
10K ZIP Campaign - 2025-12-05,03029,Postal Code,
10K ZIP Campaign - 2025-12-05,03035,Postal Code,
10K ZIP Campaign - 2025-12-05,03038,Postal Code,
10K ZIP Campaign - 2025-12-05,03056,Postal Code,
10K ZIP Campaign - 2025-12-05,03060,Postal Code,
10K ZIP Campaign - 2025-12-05,03070,Postal Code,
10K ZIP Campaign - 2025-12-05,03074,Postal Code,
10K ZIP Campaign - 2025-12-05,03080,Postal Code,
10K ZIP Campaign - 2025-12-05,03100,Postal Code,
10K ZIP Campaign - 2025-12-05,03101,Postal Code,
10K ZIP Campaign - 2025-12-05,03107,Postal Code,
10K ZIP Campaign - 2025-12-05,03110,Postal Code,
10K ZIP Campaign - 2025-12-05,03119,Postal Code,
10K ZIP Campaign - 2025-12-05,03138,Postal Code,
10K ZIP Campaign - 2025-12-05,03142,Postal Code,
10K ZIP Campaign - 2025-12-05,03145,Postal Code,
10K ZIP Campaign - 2025-12-05,03160,Postal Code,
10K ZIP Campaign - 2025-12-05,03164,Postal Code,
10K ZIP Campaign - 2025-12-05,03168,Postal Code,
10K ZIP Campaign - 2025-12-05,03186,Postal Code,
10K ZIP Campaign - 2025-12-05,03204,Postal Code,
10K ZIP Campaign - 2025-12-05,03206,Postal Code,
10K ZIP Campaign - 2025-12-05,03248,Postal Code,
10K ZIP Campaign - 2025-12-05,03252,Postal Code,
10K ZIP Campaign - 2025-12-05,03255,Postal Code,
10K ZIP Campaign - 2025-12-05,03271,Postal Code,
10K ZIP Campaign - 2025-12-05,03275,Postal Code,
10K ZIP Campaign - 2025-12-05,03281,Postal Code,
10K ZIP Campaign - 2025-12-05,03325,Postal Code,
10K ZIP Campaign - 2025-12-05,03340,Postal Code,
10K ZIP Campaign - 2025-12-05,03349,Postal Code,
10K ZIP Campaign - 2025-12-05,03364,Postal Code,
10K ZIP Campaign - 2025-12-05,03367,Postal Code,
10K ZIP Campaign - 2025-12-05,03376,Postal Code,
10K ZIP Campaign - 2025-12-05,03378,Postal Code,
10K ZIP Campaign - 2025-12-05,03395,Postal Code,
10K ZIP Campaign - 2025-12-05,03398,Postal Code,
10K ZIP Campaign - 2025-12-05,03401,Postal Code,
10K ZIP Campaign - 2025-12-05,03407,Postal Code,
10K ZIP Campaign - 2025-12-05,03415,Postal Code,
10K ZIP Campaign - 2025-12-05,03420,Postal Code,
10K ZIP Campaign - 2025-12-05,03434,Postal Code,
10K ZIP Campaign - 2025-12-05,03440,Postal Code,
10K ZIP Campaign - 2025-12-05,03446,Postal Code,
10K ZIP Campaign - 2025-12-05,03470,Postal Code,
10K ZIP Campaign - 2025-12-05,03475,Postal Code,
10K ZIP Campaign - 2025-12-05,03497,Postal Code,
10K ZIP Campaign - 2025-12-05,03504,Postal Code,
10K ZIP Campaign - 2025-12-05,03508,Postal Code,
10K ZIP Campaign - 2025-12-05,03510,Postal Code,
10K ZIP Campaign - 2025-12-05,03511,Postal Code,
10K ZIP Campaign - 2025-12-05,03514,Postal Code,
10K ZIP Campaign - 2025-12-05,03528,Postal Code,
10K ZIP Campaign - 2025-12-05,03538,Postal Code,
10K ZIP Campaign - 2025-12-05,03541,Postal Code,
10K ZIP Campaign - 2025-12-05,03543,Postal Code,
10K ZIP Campaign - 2025-12-05,03545,Postal Code,
10K ZIP Campaign - 2025-12-05,03565,Postal Code,
10K ZIP Campaign - 2025-12-05,03568,Postal Code,
10K ZIP Campaign - 2025-12-05,03569,Postal Code,
10K ZIP Campaign - 2025-12-05,03575,Postal Code,
10K ZIP Campaign - 2025-12-05,03581,Postal Code,
10K ZIP Campaign - 2025-12-05,03599,Postal Code,
10K ZIP Campaign - 2025-12-05,03609,Postal Code,
10K ZIP Campaign - 2025-12-05,03611,Postal Code,
10K ZIP Campaign - 2025-12-05,03619,Postal Code,
10K ZIP Campaign - 2025-12-05,03624,Postal Code,
10K ZIP Campaign - 2025-12-05,03653,Postal Code,
10K ZIP Campaign - 2025-12-05,03655,Postal Code,
10K ZIP Campaign - 2025-12-05,03671,Postal Code,
10K ZIP Campaign - 2025-12-05,03681,Postal Code,
10K ZIP Campaign - 2025-12-05,03686,Postal Code,
10K ZIP Campaign - 2025-12-05,03697,Postal Code,
10K ZIP Campaign - 2025-12-05,03698,Postal Code,
10K ZIP Campaign - 2025-12-05,03707,Postal Code,
10K ZIP Campaign - 2025-12-05,03710,Postal Code,
10K ZIP Campaign - 2025-12-05,03714,Postal Code,
10K ZIP Campaign - 2025-12-05,03725,Postal Code,
10K ZIP Campaign - 2025-12-05,03739,Postal Code,
10K ZIP Campaign - 2025-12-05,03751,Postal Code,
10K ZIP Campaign - 2025-12-05,03752,Postal Code,
10K ZIP Campaign - 2025-12-05,03760,Postal Code,
10K ZIP Campaign - 2025-12-05,03783,Postal Code,
10K ZIP Campaign - 2025-12-05,03787,Postal Code,
10K ZIP Campaign - 2025-12-05,03821,Postal Code,
10K ZIP Campaign - 2025-12-05,03829,Postal Code,
10K ZIP Campaign - 2025-12-05,03844,Postal Code,
10K ZIP Campaign - 2025-12-05,03857,Postal Code,
10K ZIP Campaign - 2025-12-05,03867,Postal Code,
10K ZIP Campaign - 2025-12-05,03884,Postal Code,
10K ZIP Campaign - 2025-12-05,03889,Postal Code,
10K ZIP Campaign - 2025-12-05,03907,Postal Code,
10K ZIP Campaign - 2025-12-05,03922,Postal Code,
10K ZIP Campaign - 2025-12-05,03924,Postal Code,
10K ZIP Campaign - 2025-12-05,03931,Postal Code,
10K ZIP Campaign - 2025-12-05,03938,Postal Code,
10K ZIP Campaign - 2025-12-05,03948,Postal Code,
10K ZIP Campaign - 2025-12-05,03953,Postal Code,
10K ZIP Campaign - 2025-12-05,03960,Postal Code,
10K ZIP Campaign - 2025-12-05,03962,Postal Code,
10K ZIP Campaign - 2025-12-05,03982,Postal Code,
10K ZIP Campaign - 2025-12-05,03988,Postal Code,
10K ZIP Campaign - 2025-12-05,03997,Postal Code,
10K ZIP Campaign - 2025-12-05,04007,Postal Code,
10K ZIP Campaign - 2025-12-05,04021,Postal Code,
10K ZIP Campaign - 2025-12-05,04031,Postal Code,
10K ZIP Campaign - 2025-12-05,04034,Postal Code,
10K ZIP Campaign - 2025-12-05,04038,Postal Code,
10K ZIP Campaign - 2025-12-05,04045,Postal Code,
10K ZIP Campaign - 2025-12-05,04051,Postal Code,
10K ZIP Campaign - 2025-12-05,04055,Postal Code,
10K ZIP Campaign - 2025-12-05,04061,Postal Code,
10K ZIP Campaign - 2025-12-05,04073,Postal Code,
10K ZIP Campaign - 2025-12-05,04079,Postal Code,
10K ZIP Campaign - 2025-12-05,04110,Postal Code,
10K ZIP Campaign - 2025-12-05,04122,Postal Code,
10K ZIP Campaign - 2025-12-05,04130,Postal Code,
10K ZIP Campaign - 2025-12-05,04137,Postal Code,
10K ZIP Campaign - 2025-12-05,04155,Postal Code,
10K ZIP Campaign - 2025-12-05,04159,Postal Code,
10K ZIP Campaign - 2025-12-05,04183,Postal Code,
10K ZIP Campaign - 2025-12-05,04226,Postal Code,
10K ZIP Campaign - 2025-12-05,04249,Postal Code,
10K ZIP Campaign - 2025-12-05,04297,Postal Code,
10K ZIP Campaign - 2025-12-05,04299,Postal Code,
10K ZIP Campaign - 2025-12-05,04337,Postal Code,
10K ZIP Campaign - 2025-12-05,04371,Postal Code,
10K ZIP Campaign - 2025-12-05,04403,Postal Code,
10K ZIP Campaign - 2025-12-05,04404,Postal Code,
10K ZIP Campaign - 2025-12-05,04410,Postal Code,
10K ZIP Campaign - 2025-12-05,04430,Postal Code,
10K ZIP Campaign - 2025-12-05,04437,Postal Code,
10K ZIP Campaign - 2025-12-05,04457,Postal Code,
10K ZIP Campaign - 2025-12-05,04464,Postal Code,
10K ZIP Campaign - 2025-12-05,04475,Postal Code,
10K ZIP Campaign - 2025-12-05,04479,Postal Code,
10K ZIP Campaign - 2025-12-05,04515,Postal Code,
10K ZIP Campaign - 2025-12-05,04517,Postal Code,
10K ZIP Campaign - 2025-12-05,04529,Postal Code,
10K ZIP Campaign - 2025-12-05,04569,Postal Code,
10K ZIP Campaign - 2025-12-05,04571,Postal Code,
10K ZIP Campaign - 2025-12-05,04582,Postal Code,
10K ZIP Campaign - 2025-12-05,04585,Postal Code,
10K ZIP Campaign - 2025-12-05,04597,Postal Code,
10K ZIP Campaign - 2025-12-05,04601,Postal Code,
10K ZIP Campaign - 2025-12-05,04604,Postal Code,
10K ZIP Campaign - 2025-12-05,04607,Postal Code,
10K ZIP Campaign - 2025-12-05,04611,Postal Code,
10K ZIP Campaign - 2025-12-05,04622,Postal Code,
10K ZIP Campaign - 2025-12-05,04632,Postal Code,
10K ZIP Campaign - 2025-12-05,04637,Postal Code,
10K ZIP Campaign - 2025-12-05,04638,Postal Code,
10K ZIP Campaign - 2025-12-05,04651,Postal Code,
10K ZIP Campaign - 2025-12-05,04662,Postal Code,
10K ZIP Campaign - 2025-12-05,04667,Postal Code,
10K ZIP Campaign - 2025-12-05,04677,Postal Code,
10K ZIP Campaign - 2025-12-05,04690,Postal Code,
10K ZIP Campaign - 2025-12-05,04699,Postal Code,
10K ZIP Campaign - 2025-12-05,04751,Postal Code,
10K ZIP Campaign - 2025-12-05,04769,Postal Code,
10K ZIP Campaign - 2025-12-05,04772,Postal Code,
10K ZIP Campaign - 2025-12-05,04800,Postal Code,
10K ZIP Campaign - 2025-12-05,04819,Postal Code,
10K ZIP Campaign - 2025-12-05,04838,Postal Code,
10K ZIP Campaign - 2025-12-05,04848,Postal Code,
10K ZIP Campaign - 2025-12-05,04857,Postal Code,
10K ZIP Campaign - 2025-12-05,04867,Postal Code,
10K ZIP Campaign - 2025-12-05,04874,Postal Code,
